book_name,author,rating_catalog,number_of_reviews_catalog,price_catalog,description,listening_time,genre,year_catalog,rating_advanced,number_of_reviews_advanced,price_advanced,year_advanced,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,tfidf_50,tfidf_51,tfidf_52,tfidf_53,tfidf_54,tfidf_55,tfidf_56,tfidf_57,tfidf_58,tfidf_59,tfidf_60,tfidf_61,tfidf_62,tfidf_63,tfidf_64,tfidf_65,tfidf_66,tfidf_67,tfidf_68,tfidf_69,tfidf_70,tfidf_71,tfidf_72,tfidf_73,tfidf_74,tfidf_75,tfidf_76,tfidf_77,tfidf_78,tfidf_79,tfidf_80,tfidf_81,tfidf_82,tfidf_83,tfidf_84,tfidf_85,tfidf_86,tfidf_87,tfidf_88,tfidf_89,tfidf_90,tfidf_91,tfidf_92,tfidf_93,tfidf_94,tfidf_95,tfidf_96,tfidf_97,tfidf_98,tfidf_99,author_encoded,genre_encoded,number_of_reviews_catalog_scaled,number_of_reviews_advanced_scaled
Book 0: The Journey,Stephen King,3.5,3754.0,10.15,A wonderful tale about courage,11 hours 53 minutes,Mystery,2008.0,3.5,3754.0,10.15,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28299374246776426,0.0,0.0,0.0,0.0,0.5506686080267112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2855242750960079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21386532457846008,0.0,0.4315941702176992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21519523358485407,0.0,0.4134878087468282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1367729601046727,0.0,0.0,0.2591420656903663,18,8,1.0502196467383642,1.12197300979936
Book 100: The Adventure,Mark Twain,3.7,2431.0,26.92,A wonderful story about mystery,18 hours 58 minutes,Romance,2019.0,,0.0,,,0.21632790950793837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21187183724342548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5557697200203593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3966810522739748,0.3966810522739748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2177016075383849,0.0,0.0,0.0,0.39914957320886413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13549806823390645,0.0,0.24422687358356104,0.0,16,10,0.25257637064827826,-1.1798172702697667
Book 101: The Adventure,Michelle Obama,3.8,2520.0,11.84,A wonderful saga about love,24 hours 22 minutes,Romance,2020.0,3.8,2520.0,11.84,2020.0,0.21505151275592943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863598285432481,0.0,0.0,0.0,0.0,0.4897487700236055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3943405202184593,0.3943405202184593,0.2572070260816348,0.0,0.0,0.41283595660540423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346985907435048,0.2572070260816348,0.0,0.0,17,10,0.3062349130307557,0.36533763270684483
Book 102: The Tale,George R.R. Martin,3.4,3662.0,26.42,A wonderful saga about courage,19 hours 19 minutes,Sci-Fi,2016.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26476931285148114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152062645792318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2443491529923585,0.0,0.38949380843758546,0.0,0.0,0.0,0.0,0.41014002355551227,0.41014002355551227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2013369399207335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12796495904040095,0.2443491529923585,0.0,0.0,7,11,0.9947523894441178,-1.1798172702697667
Book 103: The Journey,Isaac Asimov,3.2,4946.0,25.15,A wonderful story about mystery,8 hours 53 minutes,Science,2009.0,3.2,4946.0,25.15,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2822554599958592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21141689457318222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5350414308930737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3910664767954123,0.3910664767954123,0.0,0.0,0.0,0.0,0.21723414686999998,0.0,0.0,0.0,0.39829249765307206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1352071194519581,0.0,0.24370245642902622,0.0,8,12,1.7688823716812079,1.8528558051755986
Book 104: The Journey,Margaret Atwood,4.7,3500.0,27.17,A wonderful story about mystery,24 hours 56 minutes,Adventure,2022.0,4.7,3500.0,27.17,2022.0,0.27225932954797827,0.0,0.0,0.526360859303457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3559968147783186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666511431151079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27398819618206843,0.0,0.0,0.0,0.5023493983665532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17053099295565394,0.0,0.3073715500265542,0.0,15,0,0.8970817842085971,0.9662312060866383
Book 105: The Tale,Isaac Asimov,3.9,1375.0,14.49,A wonderful story about love,20 hours 11 minutes,Fantasy,2019.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49701084100049103,0.49701084100049103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3187771422045412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24091656567170397,0.0,0.0,0.44171352455379,0.0,0.2359231362052215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149947120846626,0.0,0.27027039576689676,0.0,8,4,-0.38409127829437534,-1.1798172702697667
Book 106: The Tale,John Grisham,4.3,3646.0,19.83,A wonderful saga about love,12 hours 6 minutes,Sci-Fi,2001.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26671838619804816,0.0,0.0,0.0,0.0,0.0,0.0,0.5367802885382554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2395651766669925,0.0,0.0,0.38451950704982046,0.0,0.0,0.0,0.40211011987569073,0.40211011987569073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1973950758209118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12545960419456342,0.2395651766669925,0.0,0.0,12,11,0.9851059099146836,-1.1798172702697667
Book 107: The Journey,Isaac Asimov,4.3,2889.0,25.6,A wonderful saga about mystery,18 hours 8 minutes,Mystery,2024.0,4.3,2889.0,25.6,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2729985305520249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40896641328531136,0.0,0.4126604444565482,0.0,0.0,0.0,0.0,0.0,0.5473069571490037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24971078157879723,0.0,0.0,0.0,0.38284754896503986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13077282873854118,0.24971078157879723,0.0,0.0,8,8,0.5287068471783307,0.591592457785563
Book 108: The Tale,Leo Tolstoy,4.2,3672.0,13.48,A wonderful tale about love,11 hours 46 minutes,Romance,2005.0,4.2,3672.0,13.48,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2790274655373084,0.0,0.0,0.0,0.0,0.47720854822715614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384243266504829,0.384243266504829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4130097553526432,0.0,0.0,0.3866343878906882,0.0,0.0,0.0,0.0,0.0,0.0,0.13124957707163523,0.0,0.0,0.24867697896792468,13,10,1.000781439150014,1.0716941597818672
